0,102,77
1,91,66
2,91,66
3,90,65
4,89,65
5,89,64
6,89,63
7,88,63
8,88,63
9,88,62
10,88,61
11,87,62
12,88,61
13,87,60
14,86,59
15,85,60
16,86,59
17,86,59
18,85,59
19,86,61
20,86,58
21,86,59
22,86,57
23,88,57
24,89,60
25,90,59
26,89,58
27,89,57
28,92,58
29,91,57
30,92,58
31,91,59
32,92,55
33,92,59
34,92,60
35,93,59
36,92,59
37,92,60
38,92,57
39,90,57
40,91,59
41,90,60
42,88,59
43,87,58
44,85,59
45,85,56
46,83,56
47,81,56
48,78,58
49,77,59
50,77,60
51,75,59
52,73,60
53,72,61
54,71,64
55,71,66
56,70,66
57,66,65
58,64,65
59,64,65
60,65,65
61,63,64
62,64,65
63,64,64
64,64,64
65,65,64
66,64,62
67,63,63
68,63,64
69,64,64
70,63,63
71,63,62
72,63,62
73,62,60
74,61,59
75,63,58
76,64,57
77,64,56
78,64,56
79,64,56
80,65,55
81,65,55
82,65,55
83,67,56
84,70,55
85,73,57
86,76,59
87,76,56
88,78,53
89,82,54
90,85,55
91,91,56
92,95,59
93,101,62
94,102,62
95,102,62
96,101,63
97,102,61
98,103,62
99,103,63
100,102,63
101,102,62
102,100,62
103,99,61
104,98,60
105,97,62
106,95,60
107,94,60
108,92,59
109,90,59
110,90,58
111,87,58
112,86,58
113,87,56
114,84,56
115,84,56
116,82,57
117,81,55
118,80,56
119,79,55
120,80,57
121,79,56
122,78,57
123,77,58
124,78,57
125,77,57
126,76,57
127,76,56
128,76,58
129,75,57
130,75,56
131,75,55
132,74,55
133,73,55
134,74,55
135,73,54
136,73,53
137,73,53
138,73,54
139,74,54
140,75,53
141,76,54
142,76,53
143,77,53
144,76,53
145,75,52
146,77,54
147,78,55
148,79,54
149,79,54
150,79,54
151,79,54
152,79,54
153,81,53
154,81,54
155,79,54
156,79,52
157,79,53
158,79,53
159,79,52
160,79,52
161,80,53
162,81,53
163,79,53
164,79,53
165,79,53
166,81,55
167,81,55
168,80,56
169,80,58
170,81,56
171,79,59
172,81,60
173,81,59
174,83,60
175,85,61
176,85,60
177,82,61
178,83,61
179,83,61
180,83,61
181,83,60
182,83,61
183,83,59
184,85,62
185,85,61
186,86,61
187,88,64
188,88,64
189,87,64
190,90,68
191,90,70
192,89,70
193,90,70
194,90,67
195,92,69
196,92,70
197,92,71
198,92,71
199,92,71
200,93,72
201,93,72
202,94,73
203,95,73
204,96,73
205,96,71
206,97,72
207,98,70
208,99,72
209,97,69
210,98,70
211,97,69
212,96,68
213,95,68
214,94,67
215,92,65
216,91,63
217,89,62
218,87,62
219,84,61
220,82,61
221,80,60
222,77,61
223,75,60
224,73,60
225,72,60
226,71,59
227,69,59
228,71,58
229,69,59
230,69,58
231,71,58
232,70,57
233,70,60
234,70,58
235,71,59
236,71,63
237,72,58
238,73,59
239,74,60
240,77,60
241,78,62
242,77,60
243,77,58
244,79,59
245,82,61
246,81,61
247,80,60
248,82,60
249,82,59
250,79,58
251,80,57
252,79,57
253,78,58
254,77,59
255,77,57
256,77,57
